Cod_Categoria,Categoria,Squad
12315,VENTA EN CAJ,INDESPENSABLES Y MASCOTAS
12316,VENTA EN CAJ,BELLEZA Y CUIDADO FAMILIAR
12317,VENTA EN CAJ,SIEMPRE LIMPIOS
12319,VENTA EN CAJ,SIEMPRE LIMPIOS
12373,MUEBLES DORMITORI,MAESTROS DEL HOGAR
8324,ACONDICIONADO,BELLEZA Y CUIDADO FAMILIAR
8326,COLORACIO,BELLEZA Y CUIDADO FAMILIAR
8327,SHAMPO,BELLEZA Y CUIDADO FAMILIAR
8328,CEPILLO,BELLEZA Y CUIDADO FAMILIAR
8330,ORAL - ENJUAGU,BELLEZA Y CUIDADO FAMILIAR
8331,AFEITADO HOMBR,BELLEZA Y CUIDADO FAMILIAR
8332,AFEITADO MUJE,BELLEZA Y CUIDADO FAMILIAR
8333,DEPILACION - QUIMICA - CER,BELLEZA Y CUIDADO FAMILIAR
8334,DESODORANTE-ANTITRANSPIRANT,BELLEZA Y CUIDADO FAMILIAR
8335,ESTILISMO - PRODUCTO,BELLEZA Y CUIDADO FAMILIAR
8336,HIGIENE FEMENINA - PROTECCIO,BELLEZA Y CUIDADO FAMILIAR
8339,ESTILISMO - HERRAMIENTA,BELLEZA Y CUIDADO FAMILIAR
8340,ESTILISMO - ACCESORIO,BELLEZA Y CUIDADO FAMILIAR
8342,BOLSA DE BASUR,SIEMPRE LIMPIOS
8343,BOLSOS & ENVOLTORIO,SIEMPRE LIMPIOS
8344,PAPEL HIGI?NIC,SIEMPRE LIMPIOS
8345,PAPELES FACIA,SIEMPRE LIMPIOS
8346,SERVILLETA,SIEMPRE LIMPIOS
8347,TOALLAS DE PAPE,SIEMPRE LIMPIOS
8348,PRIMEROS AUXILIO,BELLEZA Y CUIDADO FAMILIAR
8349,FRAGANCIA & PERFUME,BELLEZA Y CUIDADO FAMILIAR
8351,CANDY - CHOCOLATE,DULCE MOMENTO
8352,CANDY - DURO- BLAND,DULCE MOMENTO
8353,TABACO & FUMA,ABSTEMIOS IMPULSIVOS
8354,CARPETAS & ARCHIVO,ARTE Y CELEBRACION
8355,ARTESANIA - ARTE INFANTI,ARTE Y CELEBRACION
8357,PAPE,ARTE Y CELEBRACION
8358,INSTRUMENTOS ESCRITUR,ARTE Y CELEBRACION
8359,VEHICULO,DEPORTE JUGUETES
8360,JUEGOS AIRE LIBR,DEPORTE JUGUETES
8361,FIGURAS ACCION & COLECCIONABL,DEPORTE JUGUETES
8363,PELUCHE,DEPORTE JUGUETES
8364,COMIDA GAT,INDESPENSABLES Y MASCOTAS
8365,COMIDA PERR,INDESPENSABLES Y MASCOTAS
8366,JUGUETES-ACCESORIO,INDESPENSABLES Y MASCOTAS
8367,OTRAS COMIDA,INDESPENSABLES Y MASCOTAS
8374,LIMPIADORES - HOGA,SIEMPRE LIMPIOS
8375,FOSFORO,SIEMPRE LIMPIOS
8379,ARTICULOS DE LIMPIEZA - GUANTE,SIEMPRE LIMPIOS
8382,ACC ALIM-HORN-COCIN,HOGAR / TEXTIL HOGAR
8383,ALIM-HORN-COCIN,HOGAR / TEXTIL HOGAR
8384,ALMACEN-ORGANIZ,HOGAR / TEXTIL HOGAR
8385,VAJILL,HOGAR / TEXTIL HOGAR
8386,CONSERVACION ALI,HOGAR / TEXTIL HOGAR
8387,LAVAND-ORGANIZA CLOSE,HOGAR / TEXTIL HOGAR
8388,COCINA OUTDOO,FERRE/ AUTO / JARDIN
8389,SALA DE ESTA,MAESTROS DEL HOGAR
8390,CELEBRACIONES - SEMANA SANT,ARTE Y CELEBRACION
8391,CELEBRACIONES - NAVIDA,ARTE Y CELEBRACION
8392,CELEBRACIONES - EVENTOS NACIONALE,ARTE Y CELEBRACION
8393,VELAS - ESENCIA,MAESTROS DEL HOGAR
8394,TEXTIL-COCINA-COMEDO,HOGAR / TEXTIL HOGAR
8395,DECORACION BA?,HOGAR / TEXTIL HOGAR
8396,CAMA ALMOHADA-COJINE,MAESTROS DEL HOGAR
8397,CABALLERO - POLERA SPOR,MUJER / HOMBRE / CALZADO
8398,CABALLERO - TRAJE DE BA?,MUJER / HOMBRE / CALZADO
8399,CALZADO - CUIDAD,SIEMPRE LIMPIOS
8400,CALZADO - HOMBRE,MUJER / HOMBRE / CALZADO
8401,CALZADO NI?,MUJER / HOMBRE / CALZADO
8402,CALZADO MUJE,MUJER / HOMBRE / CALZADO
8403,PA?ALES BEBE-ENTREN,BELLEZA Y CUIDADO FAMILIAR
8404,CUIDADO BEB,BELLEZA Y CUIDADO FAMILIAR
8405,ALIMENTOS BEB,BELLEZA Y CUIDADO FAMILIAR
8406,FORMULAS BEB,BELLEZA Y CUIDADO FAMILIAR
