Squads,win_size,num_stds,threshold,percentile,t
MAESTROS DEL HOGAR,5,0.199999993985844,0.401385719822476,0.199999999390511,0.600000023841858
SIEMPRE LIMPIOS,5,0.199999993985844,0.108926906102923,0.199999999390511,0.579999983310699
BELLEZA Y CUIDADO FAMILIAR,5,0.199999993927069,0.017884195323552,0.199999999390511,0.689999997615814
LA BOTI DE CHILE,5,0.183249123898782,0.153306102650396,0.199999999390511,0.579999983310699
DULCE MOMENTO,5,0.139658219793632,0.153843555274772,0.199999999390511,0.579999983310699
CONGELADOS,5,0.199999993985844,0.117159463124633,0.199999999390511,0.579999983310699
PROTEINAS,5,0.166951843928175,0.312769649699315,0.199999999390511,0.589999973773956
INDESPENSABLES Y MASCOTAS,5,0.200420024991769,0.017555594461183,0.199999999390511,0.689999997615814
HOGAR  TEXTIL HOGAR,5,0.199999993985844,0.401379112813445,0.199999999390511,0.72000002861023
DEPORTE JUGUETES,5,0.199999993985844,0.401381841698683,0.199999999390511,0.72000002861023
DULE,5,0.199999993985844,0.40138553887134,0.199999999390511,0.589999973773956
VERDULEROS,5,0.199999993985844,0.121980985705815,0.199999999390511,0.699999988079071
HORA DEL TE,5,0.199999993985844,0.401384979979723,0.199999999390511,0.72000002861023
PLATOS PREPARADOS,5,0.199999993985844,0.311024932791138,0.199999999390511,0.589999973773956
ABSTEMIOS IMPULSIVOS,5,0.199999993985844,0.232757030997705,0.199999999390511,0.589999973773956
TUTIFRUTI,5,0.199999993985844,0.401384556521092,0.199999999390511,0.709999978542328
OTRO,5,0.199999993985844,0.271890981894422,0.199999999390511,0.594999998807907
